a,b,c
-1.57E-03,8.22E-04,6.78E-03
-1.57E-03,8.11E-04,6.78E-03
-1.59E-03,8.00E-04,6.78E-03
-1.59E-03,7.98E-04,6.78E-03
-1.59E-03,8.04E-04,6.77E-03
-1.59E-03,8.09E-04,6.77E-03
-1.58E-03,8.16E-04,6.79E-03
-1.57E-03,8.19E-04,6.80E-03
-1.58E-03,8.19E-04,6.80E-03
-1.59E-03,8.14E-04,6.79E-03
-1.59E-03,8.08E-04,6.78E-03
-1.59E-03,8.06E-04,6.77E-03
-1.59E-03,8.07E-04,6.77E-03
-1.59E-03,8.11E-04,6.78E-03
-1.57E-03,8.22E-04,6.78E-03
-1.56E-03,8.33E-04,6.79E-03
-1.56E-03,8.34E-04,6.79E-03
-1.56E-03,8.25E-04,6.80E-03
-1.58E-03,8.13E-04,6.80E-03
-1.60E-03,7.98E-04,6.79E-03
-1.61E-03,7.93E-04,6.76E-03
-1.60E-03,7.99E-04,6.76E-03
-1.59E-03,8.13E-04,6.77E-03
-1.57E-03,8.25E-04,6.78E-03
-1.57E-03,8.32E-04,6.79E-03
-1.57E-03,8.31E-04,6.78E-03
-1.57E-03,8.15E-04,6.78E-03
-1.58E-03,8.02E-04,6.77E-03
-1.58E-03,7.98E-04,6.77E-03
-1.59E-03,7.97E-04,6.77E-03
-1.60E-03,8.00E-04,6.77E-03
-1.61E-03,8.03E-04,6.78E-03
-1.60E-03,8.09E-04,6.78E-03
-1.59E-03,8.15E-04,6.79E-03
-1.59E-03,8.17E-04,6.79E-03
-1.59E-03,8.09E-04,6.78E-03
-1.60E-03,8.01E-04,6.77E-03
-1.61E-03,8.00E-04,6.77E-03
-1.60E-03,8.05E-04,6.78E-03
-1.59E-03,8.14E-04,6.79E-03
-1.58E-03,8.19E-04,6.79E-03
-1.58E-03,8.23E-04,6.79E-03
-1.57E-03,8.25E-04,6.79E-03
-1.58E-03,8.19E-04,6.79E-03
-1.59E-03,8.07E-04,6.78E-03
-1.60E-03,7.97E-04,6.77E-03
-1.60E-03,7.95E-04,6.77E-03
-1.59E-03,8.02E-04,6.79E-03
-1.58E-03,8.15E-04,6.79E-03
-1.57E-03,8.23E-04,6.79E-03
-1.57E-03,8.21E-04,6.78E-03
-1.58E-03,8.16E-04,6.78E-03
-1.58E-03,8.13E-04,6.78E-03
-1.60E-03,8.05E-04,6.76E-03
-1.60E-03,7.94E-04,6.76E-03
-1.60E-03,7.95E-04,6.76E-03
-1.59E-03,8.01E-04,6.77E-03
-1.60E-03,8.03E-04,6.78E-03
-1.60E-03,8.07E-04,6.77E-03
-1.60E-03,8.10E-04,6.77E-03
-1.59E-03,8.11E-04,6.77E-03
-1.59E-03,8.00E-04,6.76E-03
-1.60E-03,7.87E-04,6.75E-03
-1.61E-03,7.82E-04,6.76E-03
-1.61E-03,7.89E-04,6.76E-03
-1.61E-03,7.95E-04,6.77E-03
-1.60E-03,8.01E-04,6.78E-03
-1.58E-03,8.11E-04,6.79E-03
-1.58E-03,8.12E-04,6.78E-03
-1.59E-03,8.07E-04,6.78E-03
-1.60E-03,7.98E-04,6.77E-03
-1.61E-03,7.87E-04,6.76E-03
-1.61E-03,7.87E-04,6.76E-03
-1.60E-03,7.91E-04,6.76E-03
-1.60E-03,8.00E-04,6.77E-03
-1.59E-03,8.09E-04,6.78E-03
-1.58E-03,8.15E-04,6.79E-03
-1.58E-03,8.15E-04,6.79E-03
-1.59E-03,8.05E-04,6.79E-03
-1.60E-03,7.95E-04,6.77E-03
-1.61E-03,7.92E-04,6.76E-03
-1.60E-03,7.96E-04,6.76E-03
-1.59E-03,7.98E-04,6.77E-03
-1.58E-03,8.00E-04,6.78E-03
-1.58E-03,8.03E-04,6.79E-03
-1.58E-03,8.10E-04,6.79E-03
-1.59E-03,8.08E-04,6.78E-03
-1.60E-03,7.96E-04,6.77E-03
-1.61E-03,7.89E-04,6.77E-03
-1.61E-03,7.87E-04,6.77E-03
-1.61E-03,7.90E-04,6.78E-03
-1.60E-03,7.98E-04,6.79E-03
-1.60E-03,8.08E-04,6.78E-03
-1.59E-03,8.11E-04,6.79E-03
-1.59E-03,8.08E-04,6.78E-03
-1.59E-03,8.04E-04,6.79E-03
-1.59E-03,7.97E-04,6.78E-03
-1.60E-03,7.88E-04,6.76E-03
-1.61E-03,7.86E-04,6.76E-03
-1.59E-03,7.96E-04,6.77E-03
-1.59E-03,8.03E-04,6.78E-03
-1.59E-03,8.05E-04,6.78E-03
-1.59E-03,8.03E-04,6.78E-03
-1.60E-03,8.01E-04,6.78E-03
-1.60E-03,7.96E-04,6.78E-03
-1.61E-03,7.90E-04,6.77E-03
-1.61E-03,7.89E-04,6.77E-03
-1.60E-03,7.99E-04,6.78E-03
-1.59E-03,8.10E-04,6.79E-03
-1.58E-03,8.17E-04,6.79E-03
-1.58E-03,8.21E-04,6.80E-03
-1.58E-03,8.19E-04,6.80E-03
-1.58E-03,8.16E-04,6.80E-03
-1.58E-03,8.08E-04,6.79E-03
-1.58E-03,8.05E-04,6.78E-03
-1.57E-03,8.15E-04,6.78E-03
-1.57E-03,8.21E-04,6.79E-03
-1.57E-03,8.22E-04,6.81E-03
-1.57E-03,8.27E-04,6.81E-03
-1.56E-03,8.28E-04,6.80E-03
-1.56E-03,8.23E-04,6.80E-03
-1.57E-03,8.18E-04,6.79E-03
-1.60E-03,8.08E-04,6.78E-03
-1.60E-03,8.02E-04,6.78E-03
-1.60E-03,8.07E-04,6.78E-03
-1.59E-03,8.17E-04,6.79E-03
-1.58E-03,8.25E-04,6.80E-03
-1.57E-03,8.35E-04,6.81E-03
-1.57E-03,8.34E-04,6.80E-03
-1.58E-03,8.25E-04,6.79E-03
-1.59E-03,8.13E-04,6.78E-03
-1.59E-03,8.04E-04,6.78E-03
-1.59E-03,8.04E-04,6.78E-03
-1.58E-03,8.15E-04,6.79E-03
-1.57E-03,8.23E-04,6.80E-03
-1.57E-03,8.28E-04,6.80E-03
-1.57E-03,8.28E-04,6.80E-03
-1.58E-03,8.19E-04,6.79E-03
-1.59E-03,8.12E-04,6.78E-03
-1.59E-03,8.11E-04,6.78E-03
-1.58E-03,8.14E-04,6.79E-03
-1.57E-03,8.17E-04,6.80E-03
-1.58E-03,8.16E-04,6.78E-03
-1.59E-03,8.18E-04,6.77E-03
-1.59E-03,8.22E-04,6.78E-03
-1.59E-03,8.21E-04,6.79E-03
-1.59E-03,8.15E-04,6.78E-03
-1.59E-03,8.12E-04,6.77E-03
-1.59E-03,8.05E-04,6.77E-03
-1.60E-03,7.98E-04,6.78E-03
-1.59E-03,8.04E-04,6.79E-03
-1.59E-03,8.13E-04,6.79E-03
-1.58E-03,8.23E-04,6.78E-03
-1.58E-03,8.28E-04,6.78E-03
-1.58E-03,8.26E-04,6.78E-03
-1.59E-03,8.20E-04,6.78E-03
-1.59E-03,8.14E-04,6.77E-03
-1.59E-03,8.12E-04,6.77E-03
-1.58E-03,8.18E-04,6.77E-03
-1.57E-03,8.28E-04,6.78E-03
-1.56E-03,8.33E-04,6.79E-03
-1.56E-03,8.33E-04,6.80E-03
-1.57E-03,8.26E-04,6.80E-03
-1.59E-03,8.18E-04,6.79E-03
-1.60E-03,8.13E-04,6.78E-03
-1.60E-03,8.08E-04,6.77E-03
-1.59E-03,8.15E-04,6.78E-03
-1.57E-03,8.32E-04,6.80E-03
-1.56E-03,8.48E-04,6.81E-03
-1.55E-03,8.54E-04,6.81E-03
-1.55E-03,8.50E-04,6.80E-03
-1.56E-03,8.43E-04,6.79E-03
-1.56E-03,8.39E-04,6.78E-03
-1.57E-03,8.31E-04,6.78E-03
-1.57E-03,8.27E-04,6.78E-03
-1.57E-03,8.28E-04,6.79E-03
-1.57E-03,8.30E-04,6.79E-03
-1.56E-03,8.39E-04,6.80E-03
-1.54E-03,8.50E-04,6.81E-03
-1.55E-03,8.45E-04,6.80E-03
-1.56E-03,8.39E-04,6.79E-03
-1.57E-03,8.32E-04,6.79E-03
-1.58E-03,8.26E-04,6.79E-03
-1.58E-03,8.30E-04,6.79E-03
-1.57E-03,8.37E-04,6.80E-03
-1.56E-03,8.45E-04,6.81E-03
-1.56E-03,8.51E-04,6.81E-03
-1.56E-03,8.53E-04,6.81E-03
-1.56E-03,8.49E-04,6.80E-03
-1.57E-03,8.38E-04,6.79E-03
-1.57E-03,8.29E-04,6.79E-03
-1.57E-03,8.30E-04,6.79E-03
-1.56E-03,8.37E-04,6.79E-03
-1.55E-03,8.46E-04,6.79E-03
-1.53E-03,8.54E-04,6.80E-03
-1.53E-03,8.52E-04,6.81E-03
-1.56E-03,8.41E-04,6.81E-03
-1.57E-03,8.32E-04,6.80E-03
-1.58E-03,8.25E-04,6.80E-03
